Species	SRR26276156	SRR26276159	SRR26276160	SRR26276161	SRR26276163	SRR26276165	SRR26276171	SRR26276180	SRR26276188	SRR26276189	SRR26276190	SRR26276191	SRR26276192	SRR26276193	SRR26276195	SRR26276196	SRR26276198	SRR26276199	SRR26276200	SRR26276201	SRR26276202	SRR26276203	SRR26276204	SRR26276206	SRR26276207	SRR26276208	SRR26276209	SRR26276210	SRR26276211	SRR26276212	SRR26276213	SRR26276214	SRR26276215	SRR26276218	SRR26276219	SRR26276220	SRR26276221	SRR26276222	SRR26276223	SRR26276224	SRR26276225	SRR26276226	SRR26276227	SRR26276229	SRR26276230	SRR26276231	SRR26276232	SRR26276233	SRR26276234	SRR26276235	SRR26276236	SRR26276237	SRR26276238	SRR26276240	SRR26276241	SRR26276242	SRR26276244	SRR26276271	SRR26276277	SRR26276282	SRR26276285	SRR26276286	SRR26276293	SRR26276295	SRR26276296	SRR26276297	SRR26276298	SRR26276299	SRR26276300	SRR26276302	SRR26276305	SRR26276309	SRR26276310	SRR26276317	SRR26276319	SRR26276331	SRR26276334	SRR26276343	SRR26276344	SRR26276348	SRR26276352	SRR26276355	SRR26276357	SRR26276358	SRR26276365	SRR26276366	SRR26276367	SRR26276368	SRR26276369	SRR26276371	SRR26276372	SRR26276373	SRR26276374	SRR26276375	SRR26276376	SRR26276377	SRR26276378	SRR26276379	SRR26276380	SRR26276382	SRR26276383	SRR26276384	SRR26276385	SRR26276386	SRR26276387	SRR26276388	SRR26276389	SRR26276390	SRR26276391	SRR26276393	SRR26276394	SRR26276395	SRR26276396	SRR26276397	SRR26276398	SRR26276399	SRR26276400	SRR26276401	SRR26276402	SRR26276404	SRR26276405	SRR26276406	SRR26276407	SRR26276408	SRR26276409	SRR26276411	SRR26276412	SRR26276413	SRR26276415	SRR26276416	SRR26276417	SRR26276418	SRR26276419	SRR26276420	SRR26276421	SRR26276422	SRR26276423	SRR26276424	SRR26276426	SRR26276427	SRR26276428	SRR26276429	SRR26276430	SRR26276431	SRR26276432	SRR26276433	SRR26276434	SRR26276435	SRR26276437	SRR26276438	SRR26276440	SRR26276441	SRR26276442	SRR26276443	SRR26276444	SRR26276445	SRR26276446	SRR26276447	SRR26276448	SRR26276449	SRR26276450	SRR26276451	SRR26276453	SRR26276454	SRR26276455	SRR26276456	SRR26276457	SRR26276458	SRR26276459	SRR26276460	SRR26276461	SRR26276462	SRR26276464	SRR26276465	SRR26276466	SRR26276467	SRR26276468	SRR26276469	SRR26276470	SRR26276471	SRR26276472	SRR26276473	SRR26276475	SRR26276476	SRR26276477	SRR26276478	SRR26276479	SRR26276480	SRR26276481	SRR26276482	SRR26276483	SRR26276484	SRR26276565	SRR26276566	SRR26276568	SRR26276569	SRR26276570	SRR26276571	SRR26276572	SRR26276573	SRR26276574	SRR26276575	SRR26276576	SRR26276577	SRR26276578	SRR26276579	SRR26276581	SRR26276582	SRR26276583	SRR26276585	SRR26276586	SRR26276588	SRR26276590	SRR26276591	SRR26276592	SRR26276593	SRR26276594	SRR26276595	SRR26276596	SRR26276597	SRR26276598	SRR26276600	SRR26276601	SRR26276602	SRR26276603	SRR26276604	SRR26276605	SRR26276606	SRR26276607	SRR26276608	SRR26276609	SRR26276616	SRR26276628	SRR26276634	SRR26276635	SRR26276636	SRR26276639	SRR26276640	SRR26276643	SRR26276646	SRR26276647	SRR26276648	SRR26276650	SRR26276651	SRR26276652
Bacteroidota_SGB1699	0	0	0	0	0	0	0	0	0	0	3.34345	0	0	0	1.39166	2.29521	0	0.22087	0	0	7.98635	0	0	0	0	0	0	0	0	0.24257	0	8.97384	0.00274	0	0	0	0	0.08987	0	0	0	0	0	0	0	0	0	0	6.56015	0	0	0	2.30702	0	0	0	0	0	0	0	0	0	0	0	0	0.74451	0	11.61763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9309	5.76042	0	0	0	4.17986	0	0	0	0	0	0	0	0.50067	0	6.72776	0	0	0	0	0	0	0	0	0.32656	0	0.29006	0	0	0.03897	0	0	0.5615	0	0	0.99275	0	0.56326	0	0	0	1.22099	0	0	0	0.39285	0	0	0	0	0	0	0	0	0.09566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72939	0	0	0	0	0	1.60842	0	0	0	0.04679	0	0	0	0	0	0	1.01653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phocaeicola_plebeius	0	0.43199	0	0	0	0	0	0	0	0	0	0	0.00175	1.63883	0	6.089049999999999	0	0	0	0	5.21546	0	0	2.41453	0.96016	0	0	0	1.39636	4.88799	0	0	0	1.01497	0	0	0	0	0	0	0.01252	0	0	0	0	0.6964	0	7.51762	20.32292	0.01786	0	0	0.34051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.80533	0	0	0	0	15.33576	0.00794	0	0.29618	0	0	1.61354	0	0	5.67302	0.0249	0	0	0	0	0	0	0	10.3431	0.00493	0.00857	1.59443	0	0	0	0	0	0.58129	0	0	0.01451	0	6.9e-4	0	0	6.53538	0	0	0	0	0	0	0.00139	0	0	5.25948	0	0	0	2.29805	0	0	0	0	0.02824	0	0	0	0	0	0	0.17509	0	0	0	0	3.4224900000000003	0	0	0	0.57925	0	0.10596	0	0	0	0	0	0	0.11544	0	7.5e-4	0	0	0	0	0	0.73224	0	0	6.18606	0.00955	0	0	0	2.48806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.68897	1.75182	1.54595	0	0	0	0	0	4.86844	0	0	0	0	0	0.96844	0	0	0	0	0	0	2.4e-4	0.05034	0	0	0	0	0	0	0	0	0	0	0	0.26069	0	0	0	0	0	0	0	0	0.9774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseburia_intestinalis	0	0.18439	0	0	0.01295	0.41258	0	0.11652	0.0257	0	0.74356	0.79863	0	0.0295	0.11558	0	0	0	0.00928	0.63614	0.44201	0	0.14609	1.08776	0	0.77521	0.47187	0.59362	0.21037	0.02858	0	1.41629	0	0.10905	0.20406	0.27223	0	0.00495	0.12084	0.02981	0	0	0.01405	0	7.78619	0.01899	0.37885	0.24469	0	0.19592	0.02447	1.23076	0.05081	0.03379	0.09807	0	0.24516	0.03417	3.38173	0	0	0	0	0.01175	0.0032	0	0.01952	2.20986	0	0.26414	0.06636	0.10277	0.07008	0.00425	3.77763	0	0.15386	0.03405	0.28814	0.42777	0	0.04084	0.18791	1.94581	0.0542	0.16169	0.03681	0.0054	0.95525	0	0	0.58664	0.4931	0.0079	0.01723	1.32007	1.0845	2.14064	0	0.11689	0.10919	4.00518	0.05805	0	1.52319	0.1021	8.3e-4	0	0.00836	0	1.01958	0.08031	7.52604	0	0.01614	0.05384	0.03162	0.09345	0.39335	0.07945	2.23538	0.05909	0	0.03499	0	0.12605	0	0.019	0.24786	0.29208	0.24907	0	0	2.7e-4	0	5.41502	0	0.10552	0	0.66583	0	0.00203	0.03917	0	0	0.28858	0.86835	0.00217	0.64194	0.69181	0	0.18283	0.36907	0.07575	0.05912	0.60092	0	3.52012	0	0.27587	0.86424	1.7638	0.22706	0.02326	0.15024	0.2207	0	0	0.02944	0	0.2113	0.03357	0.5436	0.44604	0.20064	0.12849	0	0.98864	2.44001	0	0	3.41052	2.52401	0.38343	1.97012	0.06585	0	0.01314	0.01518	1.01252	0.04457	0.27443	1.29965	5.48659	0.26806	0.11128	1.8399	0.14006	0.04115	0.10895	0	2.63808	0.02006	0.04881	1.92887	0	0.08225	0.34101	0.1628	0	0.12763	0	0	0.39534	0	0.00775	0.42683	0.10771	0.07293	0	0.4201	0	0.79826	0.27327	0.13705	0	0	0.17382	0.8177	0.02	0.38542	0.00212	0.98738	0	1.25659	0.57129	0	0.01627	0.89971	0.22711	0	0.12307	0	0.01573	0
Lachnospira_pectinoschiza	0.02176	0.58449	0	0	0.00124	0	1.06303	0.00748	0.38175	2.93749	4.80368	2.53872	0	4.02474	0.17048	0.05153	4.12934	0	0	0.93072	1.08518	0.54745	3.42782	1.48828	1.16717	0.094	2.35869	0	0	0.14347	0	0	0.93452	3.0427399999999998	0.02817	0.2934	0	0.16857	0.39481	0.11402	0	0	0.07332	0.1476	6.10752	0.10256	2.80027	1.55104	0	0.02257	0	1.05892	0.35753	0.40312	0.71132	0	4.85185	0.73429	0.54967	0	0	0.01451	0.12682	1.35229	0	0	0	0	1.08893	0.66747	0.43776	1.36937	0.51917	0	0	0.0501	0.41789	0	1.64578	1.7067700000000001	0	0.65053	0.00479	1.69291	0	0.08011	0.76724	0.1569	0	0.09204	0	2.55913	0	1.16857	0.04357	2.659	1.7541	0.92408	0.03173	0.64714	0.52868	12.786639999999998	0	0.51006	0	0	0	0	0.54327	0.35211	3.074	0.03961	0.32554	0	3.56914	0.71776	0.01884	1.0814300000000001	0.07641	0.45681	9.49005	4.634650000000001	0.57504	0.11838	0	0	0.00135	0	0	2.57901	0.59503	0.48248	0	0.11372	0	1.52386	0.05794	1.93927	0.4119	0	0	0.5133	0.54131	0	0.02338	0	0	0.25069	5.28866	1.5309499999999998	0	0.06521	0.96303	0.01081	0	0.13230999999999998	0.63552	1.66442	0	0.3671	0	1.26756	0.45377	0.3566	1.2381300000000002	0.323	0	0.5307	0.08062	0.94659	2.26181	0	0	0.30648	0.02992	0.87752	0	0.14156	2.2627100000000002	0	0	4.605090000000001	2.09877	0.49022	0	0.33181	0	0.28427	0	4.049799999999999	0.51434	3.4955700000000003	0.12765	0	6.64696	7.5e-4	0	0.17437999999999998	0.57816	2.57601	0.24358	8.6062	0.02259	0.04644	0	0.64954	0.08138	0.02533	0.79925	3.75642	2.7962599999999997	0	0	0	0.83087	1.54029	3.38252	0.08366	0.18452000000000002	0	0.63953	0	0.1057	0	0	0	0	1.00265	0.08026	0.23221	3.0675100000000004	2.66733	0.38288	0	0.4288	0.49347	0.96489	0.04091	0.56525	1.61273	0	0.86947	0	1.55976	0
Marseilla_massiliensis	0	0.82992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0241	0	0	0	0	0	0	0	0	0	0	3.04591	0	0	0	0	0.96082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03173	0	0	2.08482	0	0.7011499999999999	0	0	0	0.00984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.95115	0.00116	0	0	0	0	0	0.35141	1.11379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.11707	0	0	0	0	0	0	0	0	0.11399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0786	0	0	0	0	0	0	0.77053	1.45222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.24308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phocaeicola_dorei	0.07324	0.21494	0	0	0.27865	1.65375	6.0168	0.78941	0	0	0	10.08916	0	0.97705	0.93053	0.64241	0.52585	0.0229	0	0.00256	0.2194	0	2.99901	0.58448	0.05831	1.09662	5.55016	9.42842	1.21211	3.16602	0.08073	0	0.69441	1.7e-4	2.62592	0.77932	0	1.21811	17.38443	0	26.42836	0	0.01311	0.00792	0	0.057	0	0.25315	0	0	0.02405	6.86424	0.02038	0.10436	0.1684	12.04948	0.05089	0	0	0.01512	2.15866	0.01499	0.58941	0	10.38104	10.66307	0	0.30085	1.68123	0	0.01189	8.38602	0.35928	0.2783	8.56937	5.30814	0.80357	0.20351	0	5.50332	0	1.32739	6.66982	0.00716	2.49871	1.44899	0.22186	0.24859	0	1.7212	19.90207	1.34425	16.58435	3.23779	0	0.00442	0	1.64136	0.00245	0	0.32229	0	0.00544	12.13384	0	2.85639	1.42157	1.56721	5.07307	1.49273	0	0	0.00179	1.42392	0.16608	1.26401	0	0.06485	1.38603	4.08266	8.98085	1.4732	0	1.06239	1.58509	20.04937	0.76463	0.03009	0	1.35518	0	0	0	12.66641	3.03903	0	0.09854	3.54966	0.00697	0.03374	0.67059	1.81477	0.00376	15.79234	0	0	0	0	2.28684	4.65253	0	1.03414	0.61	0.18912	8.32855	0.78916	0	0	2.89428	0.05391	16.78528	0.00229	0.04104	0.00507	0	0	7.25172	0.10147	0	0.02689	4.00208	11.52503	0.18415	1.80476	0.64549	0.69427	0	0	19.48909	0	0	1.32933	0	0.54653	0	0	5.1048	0.70552	3.25259	9.79444	3.67979	0	0.8387	0.17389	1.34416	3.78318	2.23408	0	0	9.02368	0.02847	0	0	0.07417	20.00735	0	2.53936	0.02462	0.19362	0	12.22881	0	7.71721	22.66283	0.19238	0	0.00119	3.52939	0	0	1.43909	0.73006	3.34022	0.00321	13.22986	3.02761	0	0	5.51721	1.52539	0	0.59102	8.39254	26.08028	0	4.98998	0	0.08491	0	3.22287	0.0033	3.70278	11.81791	0.02628	0
Bacteroides_uniformis	2.21904	2.21393	4.68966	0.0072	9.22058	10.29016	3.46911	3.13471	2.38177	7.87714	1.77973	3.90311	0.79008	0.55151	0.51555	2.7463	21.43008	2.02979	2.87594	8.28712	0.73452	1.03333	2.5105	3.05449	0.55135	1.09732	4.90406	12.01305	4.0929	1.42534	23.58595	5.56817	5.75392	0.00793	6.59561	1.79351	0.18117	6.7894	9.78195	0.98923	0	17.112	3.29694	2.0274200000000002	0	1.23827	6.44952	4.7907	2.37845	7.43335	2.57236	3.37608	4.29323	17.77026	1.38718	2.83277	7.43994	0.76152	0	0.73959	9.39794	2.02856	0.37112	0	12.28673	8.18774	11.74962	0.8886	6.35471	17.9056	0.44662	0.00206	2.39917	0.51139	10.69882	2.6693	6.70451	0.34574	2.8189	6.96985	19.42678	1.89201	3.85829	0.79499	7.78362	11.4605	2.89076	11.07338	4.72258	13.12395	4.29115	2.85259	2.95353	2.56646	3.62793	14.53718	12.46444	1.40397	0.10626	1.02314	0.35834	16.14376	0.66307	0	7.9354	3.52592	5.56537	4.5821	11.19067	0.31075	5.84433	17.94391	12.05845	7.57516	0.28837	0.97053	12.40774	2.87223	3.20671	1.63494	9.32139	0	12.41415	0.02401	0	18.6342	1.64985	3.54435	18.20233	0.23889	1.98309	4.04424	0	3.53133	3.75935	0	0.1637	5.43971	1.67079	8.47827	1.91397	2.14279	4.73548	8.57645	7.13362	21.02995	5.59705	1.44996	4.9855	7.21465	0	2.68393	6.37878	0.79367	1.10044	1.68224	3.47691	0	5.49094	1.181	25.03109	5.04058	9.65388	1.84321	4.22426	8.21826	10.27247	1.76407	0.00251	11.99166	4.47039	14.5455	2.58048	3.0265	2.13492	5.93075	0	8.14005	9.60883	0	0	0.6871	0	15.63011	14.20108	5.72289	5.45781	2.79023	9.5523	7.24873	3.93023	0	16.15088	0	0.40192	11.98871	18.7361	1.451	5.8794	7.4834	4.49836	0	2.07361	3.94157	5.2622	3.26116	16.33021	2.25665	0.74857	0	14.88088	28.45307	9.69914	7.09308	13.03514	7.78753	0	7.54744	2.82234	3.88581	4.5538	17.04494	0.50973	16.21889	13.32956	1.82507	0	4.18225	15.05105	0.63262	0.6246	2.11248	10.47074	24.24725	0	5.80743	0	2.22568	6.01579	3.07202	0.09937	6.66239	6.26349	12.02007	1.83465
Ruminococcus_SGB4421	0	0	0	0	0	0	0	0	0	0	0	1.5023	0	0	0	0	0	0	0	0	0.3965	0	0	0.66806	0	0	0	1.398	0	0	0	0	0	0	0	0.09023	0	0	0	0	0	0	0	0	0	0	0	0.122	0	0.09181	0	0	0	0.12056	0	0	0	0.41797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4372	0	0	0	0	0	0	0	0.47628	0.00839	6.9e-4	0.02714	0	0.8257	0	0	0	0	0	0	0	0	0	0.84274	0	0	0	0	0	0	0	0	0.73326	0	0	0.46129	0	0	0	0	0	0	1.24714	0	0	0	0	0	0	0	0	0	0.09249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24455	0	0	0	0	0	0.1398	0	0	0	0.00623	0.11718	0.08632	0	0	0	0	0	0	2.18255	0	0	0.08254	0	1.4032	0	0	0.1592	0	0.76791	0	0.37204	0	0	1.11007	0	0	0	0	0	0	0	0.60684	0	0.07797	0	0.18112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53169	0	0	0	0	0	0	0	0	1.01054	0	0	0	0.1772	0	0	0	0	0	0	0	0	0	0	0	0.53295	0	0	0	0	0	0	0.18261	0	0	0	0	0	0	0
Clostridiaceae_SGB4658	0	0	0	0	0	0.03758	0.01689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21756	0.02748	0	0.1792	0.19688	0	0	0	0	0	0	0	0	0	0	0	0	0.02766	0	0	0.00822	0	0	0	0	0	0	0	0	0.2453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19224	0.11015	0	0	0.00693	0	0	0	0	0	0.0328	0	0.02348	0	0.24415	0	0	0.06341	0	0	0	0	0	0	0	0	0.18212	0.40822	0	0	0	6.7e-4	0	0	0.3622	0	0	0	0	0	0	0	0	0	0	0.08155	0	0.02988	0	0	0	1.73512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10812	0	0	0	0.09406	0	0	0	0	0	0	0.01982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033	0	0	0	0	0	0.725	0	0	0	0	0	0	0	0	0	0	0	0.79184	0	0.23316	0	0	0	0	0	0	0.44245	0	0	0	0	0	0	0	0.61294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0042	0.02289	0	0	0	0	0	0	0	0.04875	0	0	0.13075	0	0	0	0	0	0	0.00307	0	0.68643	0	0	0	0	0
Bacteroidota_SGB2071	0	2.7944	0	0	0	0	0	0	0	0	0	0	0.08213	0	0	0.57339	0	0.466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00233	0	0	0	0	0	0	0	9.3611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77011	0	0	0	0	0	0	0	0	0	0	1.41262	0	0	0	0	0	0	0	0	3.50209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.22543	0	0	0.71608	0	0	0.75523	0	0.12735	0	0	0	3.48358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.01087	0	0	0	0	0	0.06384	0	0	1.58824	5.73537	0	0	0	0	1.55261	0	1.59853	0	0	0	2.63894	0	0	1.50138	0.16798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04137	0	0	0	0	0	1.18909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43043	0	0	0	0
