SRR26276156	SRR26276159	SRR26276160	SRR26276161	SRR26276165	SRR26276171	SRR26276180	SRR26276190	SRR26276191	SRR26276192	SRR26276193	SRR26276195	SRR26276196	SRR26276198	SRR26276200	SRR26276201	SRR26276204	SRR26276206	SRR26276207	SRR26276208	SRR26276209	SRR26276210	SRR26276214	SRR26276215	SRR26276218	SRR26276219	SRR26276220	SRR26276221	SRR26276222	SRR26276223	SRR26276224	SRR26276225	SRR26276226	SRR26276230	SRR26276231	SRR26276232	SRR26276233	SRR26276234	SRR26276235	SRR26276236	SRR26276237	SRR26276238	SRR26276240	SRR26276241	SRR26276242	SRR26276244	SRR26276271	SRR26276277	SRR26276282	SRR26276286	SRR26276293	SRR26276295	SRR26276296	SRR26276297	SRR26276298	SRR26276299	SRR26276300	SRR26276302	SRR26276305	SRR26276309	SRR26276310	SRR26276317	SRR26276319	SRR26276331	SRR26276334	SRR26276343	SRR26276344	SRR26276348	SRR26276352	SRR26276355	SRR26276357	SRR26276358	SRR26276365	SRR26276366	SRR26276367	SRR26276368	SRR26276369	SRR26276371	SRR26276374	SRR26276375	SRR26276376	SRR26276377	SRR26276378	SRR26276379	SRR26276380	SRR26276382	SRR26276384	SRR26276385	SRR26276386	SRR26276387	SRR26276388	SRR26276389	SRR26276390	SRR26276391	SRR26276393	SRR26276394	SRR26276395	SRR26276396	SRR26276397	SRR26276398	SRR26276399	SRR26276400	SRR26276401	SRR26276402	SRR26276404	SRR26276405	SRR26276406	SRR26276407	SRR26276408	SRR26276409	SRR26276411	SRR26276412	SRR26276413	SRR26276415	SRR26276416	SRR26276417	SRR26276418	SRR26276419	SRR26276420	SRR26276421	SRR26276422	SRR26276423	SRR26276424	SRR26276426	SRR26276427	SRR26276428	SRR26276429	SRR26276430	SRR26276431	SRR26276432	SRR26276433	SRR26276434	SRR26276435	SRR26276437	SRR26276438	SRR26276440	SRR26276441	SRR26276442	SRR26276443	SRR26276444	SRR26276445	SRR26276446	SRR26276447	SRR26276448	SRR26276449	SRR26276450	SRR26276451	SRR26276453	SRR26276454	SRR26276455	SRR26276456	SRR26276457	SRR26276458	SRR26276459	SRR26276460	SRR26276461	SRR26276462	SRR26276464	SRR26276465	SRR26276466	SRR26276467	SRR26276468	SRR26276469	SRR26276470	SRR26276471	SRR26276472	SRR26276473	SRR26276475	SRR26276476	SRR26276477	SRR26276478	SRR26276479	SRR26276480	SRR26276481	SRR26276482	SRR26276483	SRR26276484	SRR26276565	SRR26276566	SRR26276568	SRR26276569	SRR26276570	SRR26276571	SRR26276572	SRR26276573	SRR26276574	SRR26276575	SRR26276576	SRR26276577	SRR26276578	SRR26276579	SRR26276581	SRR26276582	SRR26276583	SRR26276585	SRR26276586	SRR26276588	SRR26276590	SRR26276591	SRR26276592	SRR26276593	SRR26276594	SRR26276595	SRR26276596	SRR26276597	SRR26276598	SRR26276600	SRR26276601	SRR26276602	SRR26276603	SRR26276604	SRR26276605	SRR26276606	SRR26276607	SRR26276608	SRR26276609	SRR26276616	SRR26276628	SRR26276634	SRR26276635	SRR26276636	SRR26276639	SRR26276640	SRR26276643	SRR26276646	SRR26276647	SRR26276648	SRR26276650	SRR26276651	SRR26276652
0	0	0	0	0	0	0	0.03343451337380534	0	0	0	0.013916604174981249	0.022952104590420935	0	0	0	0	0	0	0	0	0	0.08973841794768364	2.7400002740000272e-5	0	0	0	0	8.987003594801436e-4	0	0	0	0	0	0	0	0	0.06560153280076637	0	0	0	0.023070206921062084	0	0	0	0	0	0	0	0	0	0	0	0.007445100744510073	0	0.11617631161763126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019308996138200776	0.05760420000000003	0	0	0	0.04179858328056671	0	0	0	0	0	0.005006702002680799	0	0.0672775663612168	0	0	0	0	0	0	0	0.0032656006531201313	0	0.0029005999999999997	0	0	3.896999610300036e-4	0	0	0.005614996069502753	0	0	0.009927500992750096	0	0.005632600563260058	0	0	0	0.012209912209912214	0	0	0	0.003928498035750981	0	0	0	0	0	0	0	0	9.565996173601528e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007293902917561171	0	0	0	0	0	0.01608420643368257	0	0	0	4.678998596300419e-4	0	0	0	0	0	0	0.010165303049590908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.448000744800074e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0033342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.00431989870403039	0	0	0	0	0	0	0	1.7499993000002798e-5	0.016388301638830167	0	0.06089051217810248	0	0	0	0	0.024145297585470255	0.009601601920320385	0	0	0	0	0	0.010149696955090914	0	0	0	0	0	0	1.252000375600113e-4	0	0	0.006964001392800282	0	0.07517619999999998	0.20322930161465072	1.7859989284006419e-4	0	0	0.0034051010215303073	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1480533148053316	0	0	0	0	0.1533575693284861	7.94000158800031e-5	0	0.0029617991114602657	0	0	0.016135390318765822	0	0	0.05673021701906508	2.4899995020000995e-4	0	0	0	0	0	0	0	8.570005142003085e-5	0.01594430159443016	0	0	0	0	0	0.0058129029064514495	0	1.4510018863024508e-4	0	6.900004830003374e-6	0	0	0.0653538326769164	0	0	0	0	0	0	1.3899990270006816e-5	0	0	0.052594805259480515	0	0	0	0.022980516086361254	0	0	0	0	2.82400225920181e-4	0	0	0	0	0	0	0.0017509015758114185	0	0	0	0	0.03422491368996547	0	0	0	0.005792494207505793	0	0.0010596000000000002	0	0	0	0	0	0	0.0011544005772002872	0	7.5000030000012045e-6	0	0	0	0	0	0.0073224029289611706	0	0	0.061860624744249935	9.549997135000854e-5	0	0	0	0.02488057760748016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0768896769330969	0.017518201751820173	0.015459498454050152	0	0	0	0	0	0.04868441947376776	0	0	0	0	0	0.009684397094680868	0	0	0	0	0	0	2.4000004800000973e-6	5.03399949660005e-4	0	0	0	0	0	0	0	0	0	0	0	0.002606900521380106	0	0	0	0	0	0	0	0	0.009774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.0018438994468301668	0	0	0.00412580206290103	0	0.0011652006991204192	0.007435602974241187	0.007986305590413917	0	2.95000029500003e-4	0.0011558003467401039	0	0	9.27999443200334e-5	0.006361400636140058	0.0014608999999999998	0.010877598912240116	0	0.007752095348742791	0.004718702359351178	0.0059362029681014885	0.014162902832580575	0	0.001090499672850098	0.002040601020300509	0.002722299455540109	0	4.950001980000791e-5	0.0012083997583200484	2.981002682902417e-4	0	0	0.07786190000000001	1.8990003798000768e-4	0.0037885011365503406	0.0024468999999999992	0	0.0019591988244807043	2.447001957601566e-4	0.012307595076961974	5.081001524300458e-4	3.378999662100035e-4	9.806996077201566e-4	0	0.0024515990193603914	3.417001366800547e-4	0.0338173	0	0	0	1.1750004700001871e-4	3.20000032000003e-5	0	1.952000585600176e-4	0.022098602209860235	0	0.002641401320700661	6.63599402760537e-4	0.001027700308310093	7.007998598400278e-4	4.250000850000167e-5	0.037776299999999985	0	0.0015386003077200625	3.4050020430012254e-4	0.00288139827116104	0.004277701283310388	0	4.0840012252003655e-4	0.0018790996241800752	0.019458100000000013	5.420005962006554e-4	0.0016169006467602596	3.681e-4	5.399997840000867e-5	0.00955249904475009	0	0.0049310029586017755	7.900000790000079e-5	1.7230005169001554e-4	0.013200705280282108	0.010844998915500104	0.021406389296805346	0	0.0011689005844502916	0.04005179599482042	5.805007546509804e-4	0	0.015231910662337448	0.001020999693700093	8.300001660000334e-6	0	8.36e-5	0	0.010195802039160415	8.030999196900075e-4	0.07526039247396075	0	1.6139988702007916e-4	5.383999461600053e-4	3.1620025296020247e-4	9.345000934500091e-4	0.0039334968532025215	7.945000794500083e-4	0.02235379329386201	5.909004136302894e-4	0	3.4990034990035e-4	0	0.0012604994958002015	0	1.8999990500004747e-4	0.0024786	0.002920799123760262	0.002490701494420898	0	0	2.7000024300021876e-6	0	0.05415018375494485	0	0.0010552007386405173	0	0.006658301997490602	0	2.030002233002457e-5	3.916996083003918e-4	0	0	0.002885799711420026	0.008683497394950779	2.1699999999999992e-5	0.0064193974322410245	0.006918095849142482	0	0.0018283009141504547	0.003690700738140153	7.575003030001216e-4	5.911998817600235e-4	0.00600920540828487	0	0.03520119295976142	0	0.002758701103480441	0.008642400864240087	0.01763801058280634	0.0022706009082403646	2.325999302200208e-4	0.0015024003004800606	0.0022069997793000224	0	0	2.9440020608014427e-4	0	0.0021130006339001887	3.357000335700033e-4	0.00543599891280022	0.004460401784160712	0.002006400000000001	0.0012848993575503218	0	0.009886406920484847	0.024400090239963913	0	0	0.03410518294740853	0.025240094951980995	0.0038342973159918793	0.01970120985060493	6.584999341500065e-4	0	1.3140001314000132e-4	1.517999848200015e-4	0.010125201012520102	4.4570017828007114e-4	0.0027442991767102462	0.012996490902456363	0.05486589451341052	0.0026806010722404275	0.0011128000000000006	0.01839899816010017	0.0014005997198800546	4.1150037035033295e-4	0.001089499891050011	0	0.026380802638080268	2.00600020060002e-4	4.880999023800195e-4	0.01928868842678694	0	8.22499671000132e-4	0.003410100682020138	0.0016279998372000163	0	0.0012763005105202031	0	0	0.003953400790680158	0	7.750000000000005e-5	0.004268301707320682	0.0010771003231300977	7.293e-4	0	0.004201000840200171	0	0.007982594412183906	0.002732702459432215	0.0013705004111501237	0	0	0.0017382001738200166	0.008177000817700078	2e-4	0.0038541996145800422	2.1200004240000837e-5	0.009873800000000004	0	0.01256589623023113	0.005712906855488231	0	1.6270003254000663e-4	0.008997100899710092	0.002271099545780089	0	0.0012306999999999997	0	1.5729995281001414e-4	0
2.175997824002176e-4	0.005844898246530528	0	0	0	0.010630308504246812	7.48000448800269e-5	0.04803681921472767	0.02538721777105245	0	0.04024740402474041	0.001704800511440153	5.15300103060021e-4	0.041293408258681635	0	0.009307200930720084	0.034278199999999995	0.014882798511720157	0.01167170233434047	9.399994360003384e-4	0.02358691179345589	0	0	0.009345200934520095	0.03042739087178274	2.8170014085007034e-4	0.002933999413200117	0	0.0016857006742802693	0.003948099210380158	0.0011402010261809244	0	0	0.06107520000000001	0.0010256002051200416	0.028002708400812513	0.015510399999999995	0	2.256998645800811e-4	0	0.010589195764321699	0.0035753010725903226	0.004031199596880042	0.007113197154721135	0	0.04851848059260775	0.007342902937161176	0.0054967	0	1.451000580400232e-4	0.0012682006341003167	0.013522905409162154	0	0	0	0	0.01088929564428175	0.006674703337351671	0.004377596060163543	0.01369370410811124	0.005191698961660206	0	0	5.009998497000449e-4	0.00417890083578017	0	0.01645779012532594	0.017067705120311548	0	0.006505301951590583	4.789999042000192e-5	0.01692910000000001	0	8.011003204401287e-4	0.0076724	0.001568999372400252	0	9.204000920400093e-4	0	0.011685701168570116	4.357001307100393e-4	0.026590010636004243	0.017540998245900167	0.00924079537960231	3.172999365400127e-4	0.006471403235701615	0.12786638721336133	0	0.005100600510060053	0	0	0	0	0.0054327	0.0035210992957801406	0.03074000614800125	3.9609996039000365e-4	0.0032553996744600325	0	0.0356913750160375	0.00717759928224007	1.8840015072012063e-4	0.010814301081430104	7.640993887204899e-4	0.004568100456810047	0.09490047152985853	0.046346532442572703	0.0057503988499202265	0.001183801183801184	0	0	1.3500010800008651e-5	0	0	0.025790092262972308	0.005950303570182144	0.0048248014474404285	0	0.0011372010234809212	0	0.015238595428421363	5.793997682400926e-4	0.01939271357489951	0.004119001647600658	0	0	0.005133005646306213	0.005413094586905413	0	2.3380000000000005e-4	0	0	0.002506899999999999	0.05288657884536845	0.01530949081430549	0	6.521003260501622e-4	0.0096303019260604	1.0810004324001736e-4	0	0.001323101190791072	0.006355201271040252	0.016644196671160676	0	0.0036710014684005867	0	0.012675607605364557	0.0045377018150807285	0.0035659989302003186	0.0123813024762605	0.0032299996770000327	0	0.0053069952237043	8.06200564340395e-4	0.00946589621364152	0.022618106785432024	0	0	0.003064801225920489	2.9920000000000017e-4	0.008775195612402198	0	0.001415600990920694	0.02262709094916363	0	0	0.046050876974561526	0.020987695802460828	0.004902196568462403	0	0.003318099668190032	0	0.002842700284270028	0	0.0404980040498004	0.005143402057360822	0.03495568951329314	0.0012764991064506252	0	0.06646962658785059	7.5000000000000044e-6	0	0.001743799651240068	0.005781605203444678	0.02576009742399026	0.002435799269260218	0.08606200860620088	2.2590002259000223e-4	4.643999071200186e-4	0	0.0064954006495400625	8.137996744801305e-4	2.5330005066001023e-4	0.00799249920075008	0.03756420751284149	0.027962611185044447	0	0	0	0.008308698338260328	0.015402900000000011	0.0338252135300854	8.366002509800759e-4	0.0018452	0	0.006395301279060261	0	0.0010569992601005172	0	0	0	0	0.010026501002650097	8.026000802600076e-4	0.0023221	0.03067509693249034	0.026673305334661057	0.0038288000000000016	0	0.004287998713600385	0.00493470592164711	0.009648899035110094	4.091000818200167e-4	0.005652500565250058	0.016127296774540632	0	0.008694699999999998	0	0.0155975953207214	0
0	0.00829919751024075	0	0	0	0	0	0	0	0	0	0	0	0	2.4099985540008674e-4	0	0	0	0	0	0	0	0	0	0	0.009608204804102398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1730006346001243e-4	0	0	0.02084820416964085	0	0.00701149579310253	0	0	0	9.839998032000394e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05951152975576485	0	0	0	0	0	0.003514100702820141	0.011137905568952795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011170704468281783	0	0	0	0	0	0	0	0	0.0011398999999999995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.859997642000705e-4	0	0	0	0	0	0	0.007705301541060312	0.014522198547780146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012430799999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7.323992676007324e-4	0.0021493993551801945	0	0	0.01653750826875413	0.060168048134438566	0.00789410473646284	0	0.10089167062416947	0	0.009770500977050098	0.009305302791590836	0.006424101284820263	0.005258501051700209	0	2.5600002560000235e-5	0.0299901	0.005844799415520061	0.00058310011662002345	0.010966193420283947	0.05550162775081385	0.09428424714212363	0	0.006944100694410069	1.6999994900001532e-6	0.02625921312960655	0.0077931984413603115	0	0.012181104872441945	0.17384426523114696	0	0.2642836792851038	0	0	5.70000114000023e-4	0	0.002531499999999999	0	0	2.4050019240015393e-4	0.068642372543051	2.038000611400184e-4	0.0010435998956400108	0.0016839993264002686	0.12049475180209927	5.088997964400813e-4	0	0	1.5119987904009682e-4	1.4990005996002396e-4	0.005894102947051473	0	0.10381041038104097	0.10663071066307103	0	0.0030085003008500323	0.016812293275082702	0	1.1889989299009622e-4	0.0838602251580676	0.0035927992814401423	0.002783000556600109	0.08569369999999997	0.05308138407558476	0.008035701607140327	0.0020351012210607323	0	0.055033216509965004	0	0.013273903982171188	0.06669818666036267	7.160000000000003e-5	0.024987127485840217	0.014489905795962326	0.0022186	0.0024858990056403994	0	0.017212001721200177	0.1658435995061597	0.03237790323779032	0	4.420001768000706e-5	0	0.0164135917932041	2.4499995100000976e-5	0	0	5.4400070720091886e-5	0.12133841213384125	0	0.028563891430832603	0.014215702843140571	0.015672107836053932	0.050730700000000004	0.014927297014540595	0	0	1.789999821000018e-5	0.014239199999999999	0.0016607988374408144	0.012640098735990125	0	6.485000648500063e-4	0.013860288911768886	0.040826604082660416	0.08980847305745808	0.014732010312407217	0	0.010623910623910627	0.01585089524473143	0.20049361980255204	0.0076463061170449	3.008998495500752e-4	0	0.013551795934461215	0	0	0	0.12666421399779262	0.030390299999999978	0	9.853996058401576e-4	0.0354966248476374	6.970002788001113e-5	3.374001012200305e-4	0.006705897317641072	0.018147719962491964	3.75999624000376e-5	0.15792335262299417	0	0	0	0	0.022868390852643656	0.046525272084836686	0	0.010341405170702573	0.006100001220000253	0.0018912007564803037	0.08328548334290331	0.007891607102446395	0	0	0.02894279421144116	5.391002156400861e-4	0.16785281678528172	2.290001374000823e-5	4.104001641600659e-4	5.069998479000454e-5	0	0	0.07251718549656293	0.0010146990867708223	0	2.688998924400432e-4	0.04002081200624358	0.11525031152503111	0.0018414996317000748	0.01804760721904288	0.006454900000000004	0.006942696528651739	0	0	0.19489082204367125	0	0	0.013293293353353323	0	0.005465296174292679	0	0	0.05104798468560458	0.0070552007055200705	0.03252589674741032	0.09794440979444098	0.03679791471916588	0	0.008386994129104106	0.0017388998261100165	0.013441605376642143	0.037831800000000027	0.022340797765920205	0	0	0.09023679097632091	2.846999145900255e-4	0	0	7.416998516600296e-4	0.20007337995597196	0	0.025393589842564072	2.4620004924001e-4	0.0019361998063800192	0	0.12228814891525945	0	0.07717213086885236	0.226628345325669	0.0019237996152400756	0	1.1900004760001901e-5	0.035293910588173195	0	0	0.014390902878180586	0.007300602190180659	0.033402176618476345	3.210002889002602e-5	0.13229863968959193	0.030276099999999993	0	0	0.055172105517210523	0.0152539	0	0.005910201182040233	0.08392540000000004	0.26080287824086335	0	0.0498998598798319	0	8.491001698200346e-4	0	0.032228693554261265	3.299998350000825e-5	0.03702779999999999	0.11817915908957947	2.627999211600236e-4	0
0.02219037780962219	0.022139293358212003	0.04689659062068186	7.199999280000072e-5	0.10290165145082569	0.034691127752902236	0.031347118808271277	0.017797307118922842	0.039031127321789136	0.007900796839681264	0.005515100551510056	0.005155501546650463	0.027463005492601122	0.21430084286016848	0.02875938274437035	0.08287120828712075	0.025104999999999995	0.03054489694551032	0.005513501102700222	0.010973193416083953	0.04904062452031224	0.12013056006528011	0.055681711136342266	0.057539205753920575	7.929997621000713e-5	0.06595613297806646	0.017935096412980717	0.0018116998188300185	0.06789402715761084	0.09781948043610392	0.009892308903078021	0	0.17111996577600685	0	0.0123827024765405	0.0644952193485658	0.04790699999999999	0.023784511892255937	0.07433345539992671	0.025723620578896468	0.03376078649568541	0.04293231287969388	0.17770258222974186	0.013871794451282215	0.02832768866892453	0.07439937024025188	0.007615203046081219	0	0.007395894083284735	0.020285608114243243	0.0037112018556009273	0	0.12286731228673115	0.0818774081877408	0.11749623524887061	0.008886000888600094	0.06354707458117022	0.1790560895280448	0.004466195980423615	2.0600006180001866e-5	0.02399169520166095	0.005113901022780201	0.10698819999999996	0.026692991992102393	0.06704511340902272	0.0034574020744412444	0.028188983086610178	0.06969852090955633	0.19426787770715098	0.018920105676031692	0.03858289228342155	0.007949900000000005	0.07783628561991413	0.1146050458420184	0.028907600000000002	0.11073375570649778	0.04722579527742044	0.13123951312395135	0.029535317721190637	0.025664602566460255	0.03627931088379328	0.1453718581487432	0.12464438753556119	0.014039692980153506	0.0010625997874800423	0.010231405115702552	0.16143758385624168	0.006630708619921199	0	0.0793540555478388	0.03525918942224321	0.05565371113074224	0.04582102291051149	0.11190670000000001	0.003107499378500124	0.05844331168866239	0.17943908205609166	0.1205844879415512	0.07575159999999999	0.002883697981411414	0.009705299029470095	0.12407749926199944	0.02872230287223028	0.032067074346340554	0.01634940163494017	0.09321387203583838	0	0.12414147517170489	2.4010024010024018e-4	0	0.18634192546322978	0.01649851319881057	0.03544348227825886	0.1820233	0.002388899283330214	0.01983091189854715	0.04044241213272359	0	0.03531333178199861	0.037593499999999974	0	0.001636999345200262	0.05439713807799666	0.016707906683162667	0.08478272543481767	0.01913969234412306	0.021427923570715938	0.04735475264524736	0.0857644742706577	0.0713362	0.21029947897005188	0.055970483208855025	0.014499599999999993	0.04985498005800797	0.07214645671212587	0	0.026839313419656678	0.06378781275756265	0.007936703174681274	0.011004397799120439	0.016822415140173633	0.034769106953821384	0	0.0549093890181222	0.011810004724001889	0.25031092503109253	0.05040583024349812	0.09653883861553549	0.01843209447037165	0.0422426084485217	0.08218259178174084	0.10272467945506415	0.017640684123384293	2.5100017570012303e-5	0.11991655203337925	0.044703913411173996	0.14545501454550142	0.025804794839041047	0.030265012106004834	0.021349200000000013	0.05930747034626485	0	0.08140055698038991	0.0960882615646954	0	0	0.006870996564501719	0	0.15630099058930663	0.14201087100543552	0.05722889427711055	0.054578083626574896	0.027902302790230277	0.09552299044770095	0.07248730724873073	0.039302315720926274	0	0.1615086869439191	0	0.004019201607680641	0.11988710000000007	0.18736098126390172	0.014509997098000568	0.05879405291464758	0.07483399251660074	0.04498358650492403	0	0.020736102073610204	0.03941569211686157	0.05262196842681893	0.03261160326116031	0.16330203467918622	0.022566504513300913	0.007485699251430074	0	0.14880885952354367	0.28453084226542136	0.09699143879657553	0.07093081418616282	0.13035137392972512	0.07787530000000006	0	0.07547442264232684	0.0282234	0.03885809999999997	0.045538009107601855	0.1704494511348354	0.005097296431892494	0.16218904597014142	0.13329563998869204	0.018250699999999995	0	0.0418225041822504	0.15051051505105142	0.0063262	0.006245999375400069	0.021124804224960835	0.10470740000000003	0.24247257274177175	0	0.05807436968924368	0	0.02225680445136091	0.06015790601579061	0.030720193855961208	9.936995031502485e-4	0.06662389999999999	0.06263493131746563	0.12020066393980079	0.01834650183465018
0	0	0	0	0	0	0	0	0.015023010516107367	0	0	0	0	0	0	0	0	0.006680599331940071	0	0	0	0.013980006990003504	0	0	0	0	9.022998195400361e-4	0	0	0	0	0	0	0	0	0	0.0012199999999999997	0	9.1809944914033e-4	0	0	0	0.0012055998794400125	0	0	0	0.004179701671880669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004372000874400171	0	0	0	0	0	0	0	0.004762801428840426	8.389998322000336e-5	6.900000000000003e-6	2.7140029854032824e-4	0	0.008257	0	0	0	0	0	0	0	0.00842739915726008	0	0	0	0	0	0	0	0.007332597800220668	0	0	0.0046129	0	0	0	0	0	0	0.012471398752860121	0	0	0	0	0	0	0	0	0	9.248996300401478e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0024455026900529597	0	0	0	0	0	0.0013979999999999995	0	0	0	6.230003115001549e-5	0.0011718002343600487	8.632003452801385e-4	0	0	0	0	0	0	0.02182550218255022	0	0	8.253997523800739e-4	0	0.014031998596800143	0	0	0.0015920011144007803	0	0.007679102303730687	0	0.0037203992559201506	0	0	0.011100694449652778	0	0	0	0	0	0	0	0.006068395752122975	0	7.796999220300075e-4	0	0.0018112001811200179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005316900531690051	0	0	0	0	0	0	0	0	0.010105397978920398	0	0	0	0.001772	0	0	0	0	0	0	0	0	0	0	0	0.005329499467050059	0	0	0	0	0	0	0.0018261003652200744	0	0	0	0	0	0	0
0	0	0	0	3.758001879000939e-4	1.6890013512010826e-4	0	0	0	0	0	0	0	0	0	0	0.0021755999999999998	2.747999725200029e-4	0	0.0017919989248006453	0.0019688009844004914	0	0	0	0	0	0	0	0	0	2.7660024894022423e-4	0	0	0	0	0	0	0	0	0	0.002452999018800393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001922400961200481	0.0011014990086508913	0	0	6.930001386000272e-5	0	0	0	0	0	3.2800009840002983e-4	0	2.3480007044002102e-4	0	0.0024415000000000014	0	0	6.341e-4	0	0	0	0	0	0	0.0018212007284802909	0.004082199591780039	0	0	0	0	0	0.0036220003622000375	0	0	0	0	0	0	0	0	0	0	8.154994291503998e-4	0	2.988002390401913e-4	0	0	0	0.01735119479464156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0010812004324801726	0	0	0	9.405990594009407e-4	0	0	0	0	0	0	1.981998810800711e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.300000660000133e-4	0	0	0	0	0	0.007250002175000648	0	0	0	0	0	0	0	0	0	0	0	0.007918398416320312	0	0.0023316011658005833	0	0	0	0	0	0	0.004424498672650397	0	0	0	0	0	0	0	0.006129399387060062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2e-5	2.2889999999999982e-4	0	0	0	0	0	0	0	4.875000487500047e-4	0	0	0.0013074998692500144	0	0	0	0	0	0	3.070000614000125e-5	0	0.006864298627140269	0	0	0	0	0
0	0.027943991616802527	0	0	0	0	0	0	0	8.212996714801312e-4	0	0	0.005733901146780233	0	0	0	0	0	0	0	0	0	0	0	0	2.3300011650005817e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007701103080441233	0	0	0	0	0	0	0	0	0	0.01412619434952227	0	0	0	0	0	0	0	0	0.0350209210125526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022254297774570202	0	0	0.007160794987443511	0	0	0.007552300755230073	0	0.001273500127350013	0	0	0	0.03483583483583485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03010871204348481	0	0	0	0	0	6.384e-4	0	0	0.015882399999999994	0.05735367705852916	0	0	0	0	0.015526106210442493	0	0.015985314386782953	0	0	0	0.026389410555764218	0	0	0.01501380600552241	0.0016797994960601503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.136999586300041e-4	0	0	0	0	0	0.011890901189090114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004304297847851076	0	0	0	0
