feature,median_original,median_cf,median_healthy,frac_moved_closer,median_abs_dist_original,median_abs_dist_cf,median_improvement
Clostridium scindens [1606],1.6115413516231263,-1.9861933,-1.9861933199580357,0.7,3.5977346715811622,1.99580356685658e-08,3.5977346516231266
Clostridium spiroforme [1270],1.1644402297063903,-2.1347554,-2.134755366085342,0.6,3.2991955957917325,3.391465774882363e-08,3.2991955618770747
Clostridium ramosum [1269],1.9238850706293698,0.921071,0.3375096511282668,0.8,3.268891695680401,1.0479595000000002,2.2209321956804007
Streptococcus mutans [1373],-0.025217623855473867,-2.1638978,-2.1638977674940407,0.6,2.1386801436385667,3.2505959257633776e-08,2.1386801111326075
unnamed Streptococcus sp. oral taxon 056 [1399],0.9862922415787078,-0.82553166,-0.8255316334833833,0.7,1.893461117116784,2.6516616680183347e-08,1.8934610906001674
Bacteroides intestinalis [1103],0.9772178119560948,2.2354245,1.3456176387816647,0.6,2.572598600886032,0.9585297387816647,1.6140688621043675
unnamed Clostridium sp. HGF2 [1278],1.5979830338766257,0.8548297,-0.1682472537518088,0.9,2.566724613168834,1.0230769537518087,1.5436476594170254
Eggerthella lenta [817],1.0527782239144297,0.172582,-0.35624580222285024,0.7,2.0721993434462367,0.5288278022228503,1.5433715412233864
unnamed Lachnospiraceae bacterium 1_4_56FAA [1612],2.789150731091268,1.3567832,-2.1529752720917252,0.6,4.942126003182993,3.5097584720917254,1.432367531091268
Roseburia intestinalis [1631],1.778617441777068,0.824855,-0.4061993939212143,0.6,2.7378108867594593,1.3098083939212142,1.428002492838245
Veillonella atypica [1260],-1.1000226441411907,-0.6557583,0.10311513876754598,0.7,2.1455421306785327,0.758873438767546,1.3866686919109867
Bacteroides coprocola [1107],0.08231801600192723,-1.2179612,-1.6623135633230237,0.6,1.744631579324951,0.44435240000000004,1.3002791793249509
Veillonella parvula [1261],-0.3497501255615118,-1.4040050000000002,-0.21513183090493826,0.4,2.3603347166587296,1.1888731690950618,1.1714615475636678
Ruminococcus lactaris [1609],2.6862296441120797,1.2353917,-0.1660863836632098,0.8,4.236919921633439,3.1340097499999997,1.1029101716334395
unnamed butyrate-producing bacterium SS3/4 [1603],1.0607720338615354,0.8977295,0.5392632757543568,0.8,1.6314356006740012,0.5310200242456432,1.1004155764283579
Bifidobacterium bifidum [968],-1.5309864320523745,-0.2381356,-1.1510715058844632,0.6,2.002605151742149,0.9129359058844632,1.089669245857686
Eubacterium cylindroides [1276],-1.4750453946832112,-2.4741955,-2.4741954172353826,0.5,0.9991500225521713,8.276461738176977e-08,0.999149939787554
Haemophilus pittmaniae [327],0.058638320601311356,-0.9237435,-0.923743497677743,0.4,0.9823818182790544,2.3222570533221187e-09,0.9823818159567973
[Ruminococcus] gnavus [1611],2.1972380635565654,0.670146,0.048549081758798296,0.7,3.408193237976401,2.4795694817587983,0.9286237562176027
Bifidobacterium dentium [971],-0.9128869065657959,-0.0065205999999999875,0.4997391192585722,0.4,1.8387783338870414,0.9817742192585721,0.8570041146284693
unnamed Coprobacillus sp. 29_1 [1271],-0.7911949629069759,-1.9225285,-1.6415974805962779,0.9,1.1313335585960287,0.2809310194037222,0.8504025391923065
Propionibacterium freudenreichii [825],-0.165911802126252,-1.01098,-1.0109800603236045,0.5,0.8450682581973525,6.032360455598962e-08,0.845068197873748
Pseudoflavonifractor capillosus [1579],-0.4090693593922245,0.35953,0.5260469771480096,0.9,1.1771840961211362,0.33761697714800964,0.8395671189731265
Haemophilus influenzae [323],-0.4541563332321514,-1.2722142,-1.2722141694559874,0.5,0.818057836223836,3.0544012652455876e-08,0.8180578056798233
Eubacterium eligens [1627],1.6870516324000495,1.19527315,0.5921918276144396,0.8,1.917766396236067,1.1307491723855605,0.7870172238505064
Streptococcus mitis [1409],0.2192017673988777,-0.5657241,-0.81019327745364,0.4,1.0293950448525178,0.24446922254636005,0.7849258223061577
Butyrivibrio crossotus [1628],-0.20944482349073787,-3.133582,-2.0490379783035055,0.7,1.8395931548127678,1.0845440216964946,0.7550491331162732
Dorea longicatena [1605],-0.12428788539226282,0.51732,0.07169304012177846,0.7,1.4782688440233487,0.7649839598782215,0.7132848841451271
[Ruminococcus] obeum [1618],0.8862936958142471,0.1826945,0.17311607469598478,0.8,1.4336483903716282,0.7376285,0.6960198903716281
Ruminococcus bromii [1569],0.08875064508052172,1.5119173526999998,0.007254191263190113,0.5,3.2665890871036205,2.5763211766368097,0.6902679104668108
Prevotella copri [1081],0.9189456999712953,-1.5642195,-0.5419897912762697,0.7,2.404916104886067,1.7241277087237303,0.6807883961623367
unnamed Lachnospiraceae bacterium 3_1_57FAA_CT1 [1624],0.2427757221753994,0.96887905,0.3461153980614217,0.6,2.273250504852964,1.5945061019385782,0.6787444029143856
Bifidobacterium longum [970],-0.03447286770090144,1.1589909999999999,-0.4710092110265859,0.4,2.3052622539863354,1.6300002110265859,0.6752620429597496
Collinsella aerofaciens [814],-0.4900634485722722,-0.8770202,1.4692537596995399,0.4,3.0024573974747915,2.34627395969954,0.6561834377752516
Gemella haemolysans [1300],-0.18856511995332015,-0.83031285,-0.8303128306693269,0.5,0.6417477107160068,1.9330673062256665e-08,0.6417476913853337
Phascolarctobacterium succinatutens [1659],-1.8365406388228642,-3.4644334,-2.473802411426427,0.7,1.6278928364891891,0.9906309885735727,0.6372618479156165
unnamed Eggerthella sp. YY7918 [818],-0.12263484119446266,-0.7315222,-0.7315222132849085,0.3,0.6088873720904459,1.3284908506605575e-08,0.6088873588055373
[Ruminococcus] torques [1610],0.5489480782675553,1.0174346,0.8975238653938027,0.5,1.729804388552822,1.1288266346061973,0.6009777539466248
Akkermansia muciniphila [1008],-0.944112948101849,1.0238156,0.2168945729509855,0.8,3.0434328373647968,2.4784909270490143,0.5649419103157824
